image,left_x,left_y,mid_x,mid_y,right_x,right_y
5993e9c5a.jpg,1,145,352,194,673,105
c5e8c606b.jpg,6,234,516,335,1024,213
71567f036.jpg,41,107,533,297,938,125
2c3eecf9b.jpg,33,180,526,203,1018,93
922dec407.jpg,280,107,587,259,644,72
3f6e0df99.jpg,68,147,566,401,915,134
b6008dacb.jpg,16,110,350,217,688,133
5081cfdd8.jpg,24,148,494,289,801,227
e242d4a77.jpg,169,179,528,371,889,199
51affc761.jpg,29,153,518,263,1004,166
c99adbe27.jpg,51,9,574,294,1025,7
194201026.jpg,70,202,530,352,966,170
ac166ba4b.jpg,92,56,512,213,973,22
b203e51e9.jpg,169,62,417,408,853,51
cdb9b4a02.jpg,13,133,376,239,716,130
4344872df.jpg,15,118,449,244,858,133
77c1f61a2.jpg,4,61,495,192,924,43
47e0583c6.jpg,27,37,518,134,1030,39
ea2631dca.jpg,76,171,933,257,1690,182
8465251e9.jpg,10,165,575,255,999,188
8e2c454da.jpg,15,161,448,243,875,168
1abfec724.jpg,60,39,455,207,1016,35
e2a8a194c.jpg,137,125,524,257,882,105
bba83e70d.jpg,30,41,539,229,997,41
728ce1056.jpg,80,253,497,361,881,252
2dc8893ac.jpg,-57,287,437,438,937,361
e782803cb.jpg,39,81,246,188,550,148
7df9ccb01.jpg,25,102,534,301,1024,97
6661b8ebe.jpg,64,213,482,225,817,205
10a91f629.jpg,21,172,408,180,791,66
ac6290ae4.jpg,15,208,521,312,998,224
b0f2dec2e.jpg,152,85,409,275,1016,81
12bd94457.jpg,162,115,514,186,1012,105
9d200b84a.jpg,17,29,544,168,967,34
318fe09a8.jpg,34,334,538,476,1004,317
2b575d1ff.jpg,67,103,552,284,963,111
b95f25945.jpg,29,216,554,299,1045,98
3c1f7fe58.jpg,34,230,435,307,868,173
1ccdd3f13.jpg,28,241,527,328,982,180
986150436.jpg,14,117,426,212,847,116
70353ef9b.jpg,34,194,498,267,1007,198
e504cceb4.jpg,53,63,507,253,991,84
02d2a38ed.jpg,13,28,527,131,1011,11
dfbcd5e5b.jpg,56,168,517,377,1001,204
204823b38.jpg,35,28,433,164,847,37
872375b48.jpg,35,49,544,180,1003,42
6ccfb24c9.jpg,52,77,523,185,829,75
b9c0dba6f.jpg,67,177,512,321,1005,298
3cf178135.jpg,77,154,367,231,746,160
8051e769a.jpg,114,122,354,200,616,115
d775ac060.jpg,111,101,543,242,998,122
8b22a948e.jpg,20,24,266,118,429,29
d9e520eba.jpg,172,69,556,232,910,30
feb20aa0d.jpg,125,213,524,336,879,169
858a32030.jpg,92,229,506,340,961,267
c2eb6772f.jpg,99,169,529,334,959,162
f8362c830.jpg,67,30,532,181,1007,60
fb1f0549f.jpg,36,136,418,251,772,158
4f72b1b40.jpg,43,81,505,203,987,51
dcc8cd1cf.jpg,59,121,480,205,937,146
b6bc5400c.jpg,28,122,558,180,1007,112
b37f0ed5a.jpg,289,182,528,320,737,261
dcb809492.jpg,39,26,520,145,993,39
fe63bf806.jpg,105,232,513,395,954,172
f96795e90.jpg,80,123,539,314,957,181
542f7098e.jpg,104,48,444,239,980,140
69b16b379.jpg,33,113,566,291,990,102
a6e02dfd4.jpg,125,134,513,271,957,218
0b6e959b8.jpg,18,129,366,211,644,156
32a79913f.jpg,42,17,514,221,1020,20
afdeea192.jpg,21,16,510,174,1044,27
511f49e5d.jpg,49,160,540,221,935,159
6746f2fd4.jpg,67,21,500,271,982,19
04bae2db7.jpg,23,56,246,112,506,-8
b42056431.jpg,147,122,1238,215,2231,163
7616ee622.jpg,77,119,511,343,954,128
6a5974096.jpg,82,163,544,234,964,177
befa68088.jpg,63,106,451,303,873,95
7ade3a241.jpg,95,110,552,219,921,39
dcb416c6c.jpg,66,227,513,294,958,180
974989f66.jpg,38,58,435,189,711,44
29fc6ff1c.jpg,22,84,469,193,858,82
18a26f162.jpg,63,234,527,385,983,180
f350cee62.jpg,75,49,479,175,1019,35
ea3b73ef9.jpg,24,4,530,179,1003,14
d60be4a67.jpg,105,79,487,269,961,77
4dd20c3b3.jpg,46,249,533,353,988,232
d7b2929f1.jpg,89,41,490,200,1027,20
2bbfd538c.jpg,89,153,513,231,955,76
b158b6fea.jpg,25,354,518,421,1044,348
69fabe8bb.jpg,47,37,530,295,998,50
933adda68.jpg,1,92,529,220,1002,71
84574dfbc.jpg,32,66,344,187,652,106
cbb0312f8.jpg,32,182,571,256,993,179
6f05067ff.jpg,28,185,534,282,1017,185
bf3d24d53.jpg,32,76,374,182,685,101
bc254cbe7.jpg,34,96,554,224,964,93
cc293ec64.jpg,44,83,230,124,440,75
ae1673652.jpg,19,126,435,214,802,111
2f0b9f7ef.jpg,64,83,304,183,478,101
a0a23b34a.jpg,105,107,428,198,772,115
97ee6dd93.jpg,86,214,547,449,842,223
9cfc18024.jpg,25,74,492,174,912,85
cead3cc2f.jpg,154,124,521,222,931,151
6d1adfcb3.jpg,123,220,546,324,925,292
a6dd1b50b.jpg,50,41,481,227,1002,28
8345fbf03.jpg,58,45,462,306,995,25
d13fc7a48.jpg,19,108,586,303,988,144
43b1e4878.jpg,93,201,510,374,978,219
199f8e79d.jpg,7,76,523,205,1017,70
bb2fcc19f.jpg,11,43,539,177,979,38
3a96fc020.jpg,118,33,435,282,1019,36
32a9dcb98.jpg,159,76,322,186,611,25
294593d7f.jpg,49,55,517,257,1008,55
c3d7ce2d3.jpg,12,270,557,354,1040,270
a57d62edf.jpg,8,15,529,129,1021,14
951344d33.jpg,73,52,420,160,816,86
9b3fa26f7.jpg,43,24,335,191,631,46
4f9e0f37e.jpg,39,191,505,355,991,192
9b783f8ff.jpg,89,75,480,228,985,64
49d05c131.jpg,140,258,508,334,752,293
4d16c0473.jpg,41,197,570,341,980,195
a19acb311.jpg,51,94,324,210,672,190
d604bdf53.jpg,73,99,534,326,617,81
004e8ad5b.jpg,65,131,527,309,942,165
f4a8505d2.jpg,56,120,557,265,935,132
63ff98c46.jpg,53,24,597,251,931,41
6bf577c48.jpg,47,148,518,271,1010,139
8b569fdef.jpg,97,49,480,212,1031,45
e91deea5c.jpg,200,267,508,388,782,281
b9bd90b35.jpg,71,111,490,195,990,99
973d8acd0.jpg,149,233,484,349,858,218
512a74c87.jpg,66,225,553,381,951,231
97d4f732d.jpg,73,171,507,314,974,168
6206bb8d7.jpg,17,163,378,225,670,171
4e4474164.jpg,48,46,571,243,946,25
0a13a258f.jpg,41,162,539,242,971,144
e812f8174.jpg,31,128,584,215,986,96
dd3ad7c90.jpg,354,162,543,328,680,250
799362c55.jpg,18,61,578,189,974,46
dcc2a9702.jpg,142,236,513,337,1006,244
48e386e7c.jpg,50,148,341,237,673,168
aadafc09e.jpg,42,39,225,158,540,32
690f06dba.jpg,41,38,515,142,1001,37
3657250e6.jpg,52,80,312,230,672,51
f013a1737.jpg,4,116,350,184,682,123
c74553589.jpg,154,289,524,347,862,241
614fd24d4.jpg,69,61,469,256,1013,71
4bf5f4126.jpg,69,36,457,407,993,54
472331489.jpg,40,206,521,262,992,149
e656b6843.jpg,49,133,316,191,646,115
d7de58282.jpg,36,240,546,364,986,222
c905563ad.jpg,31,178,500,326,1016,176
659583f73.jpg,37,139,368,279,781,131
4a658e7a9.jpg,83,73,429,170,1047,82
4ec289101.jpg,36,14,514,121,1000,11
ae7e16db8.jpg,79,53,371,177,651,47
c87941d63.jpg,37,32,524,214,1058,58
9eab3a2d3.jpg,21,119,565,208,1022,135
dd7a109e8.jpg,125,261,539,323,971,184
127cf66b2.jpg,60,42,252,130,456,137
7e91add96.jpg,104,121,491,339,784,169
2bad0f9e0.jpg,24,101,263,144,512,102
c93b6d042.jpg,67,120,515,248,966,104
706da9a27.jpg,16,205,381,250,680,138
897ef92bc.jpg,68,79,503,251,1004,122
c39e9abd5.jpg,-116,70,428,137,1080,18
79c43819d.jpg,35,29,551,182,1002,27
8e32edb26.jpg,31,92,547,295,1027,83
01cea07ff.jpg,68,128,478,290,972,142
c3c500fe0.jpg,47,29,548,203,1024,25
46377769c.jpg,27,56,550,221,983,71
aca0bf410.jpg,40,158,522,351,983,170
9ef9d541e.jpg,27,243,548,343,949,264
