"id","output_set_id","input_id","data"
"1","4","1","{""data"": [[242.28763040238448, 242.026825633383]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"2","4","1","{""data"": [[543.7779433681073, 307.74962742175853]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"3","4","1","{""data"": [[857.7868852459017, 164.82861400894188]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"4","4","2","{""data"": [[20.25689655172414, 92.90775862068963]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"5","4","2","{""data"": [[352.86206896551727, 167.40086206896552]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"6","4","2","{""data"": [[746.2379310344828, 90.29396551724138]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"7","4","3","{""data"": [[95.94827586206895, 86.02155172413795]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"8","4","3","{""data"": [[508.70689655172407, 255.28879310344823]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"9","4","3","{""data"": [[1014.6982758620688, 36.23706896551725]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"10","4","4","{""data"": [[50.689655172413794, 277.6310043668122]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"11","4","4","{""data"": [[507.80172413793105, 215.2729257641922]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"12","4","4","{""data"": [[1026.4655172413793, 301.4737991266376]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"13","4","4","{""data"": [[1026.4655172413793, 301.4737991266376]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"14","4","5","{""data"": [[21.724137931034488, 163.91921397379917]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"15","4","5","{""data"": [[531.3362068965519, 210.68777292576425]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"16","4","5","{""data"": [[1010.1724137931036, 226.27729257641923]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"17","4","6","{""data"": [[30.41379310344828, 43.42358078602615]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"18","4","6","{""data"": [[30.41379310344828, 43.42358078602615]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"19","4","6","{""data"": [[447.7586206896552, 121.31004366812223]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"20","4","6","{""data"": [[960.5689655172416, 34.86462882096066]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"21","4","7","{""data"": [[8.146551724137932, 20.375545851528383]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"22","4","7","{""data"": [[572.9741379310345, 185.4410480349345]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"23","4","7","{""data"": [[943.1896551724138, 6.620087336244538]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"24","4","8","{""data"": [[56.47322575671923, 164.82861400894188]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"25","4","8","{""data"": [[538.3864792640936, 290.0149031296572]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"26","4","8","{""data"": [[930.7132946194562, 171.08792846497764]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"27","4","9","{""data"": [[42.543103448275865, 70.48034934497814]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"28","4","9","{""data"": [[582.9310344827586, 237.37991266375548]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"29","4","9","{""data"": [[1009.2672413793106, 86.98689956331877]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"30","4","10","{""data"": [[30.012481371087983, 141.15350223546946]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"31","4","10","{""data"": [[502.9435543964234, 321.0745156482862]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"32","4","10","{""data"": [[933.6836810730254, 131.21311475409837]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"33","4","11","{""data"": [[133.06034482758622, 20.205240174672458]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"34","4","11","{""data"": [[478.8362068965518, 248.54585152838428]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"35","4","11","{""data"": [[998.4051724137933, 12.868995633187737]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"36","4","12","{""data"": [[26.250000000000004, 197.75109170305677]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"37","4","12","{""data"": [[521.3793103448277, 263.7772925764192]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"38","4","12","{""data"": [[1016.5086206896552, 198.66812227074237]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"39","4","13","{""data"": [[307.7586206896552, 40.02183406113535]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"40","4","13","{""data"": [[589.2672413793103, 193.16593886462883]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"41","4","13","{""data"": [[983.0172413793106, 5.1746724890829405]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"42","4","14","{""data"": [[31.681034482758623, 98.90829694323143]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"43","4","14","{""data"": [[551.2500000000001, 226.3755458515284]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"44","4","14","{""data"": [[966.7241379310344, 88.82096069868994]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
"45","4","15","{""data"": [[103.1896551724138, 196.02183406113537]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_left""}"
"46","4","15","{""data"": [[472.50000000000006, 308.8165938864629]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""middle""}"
"47","4","15","{""data"": [[992.0689655172416, 72.22270742358074]], ""type"": ""point"", ""unit"": ""px"", ""label"": ""upper_right""}"
